àÍ,inf
íö,0.5,0.4
éµ,0.6,0.7
ñú,0.8,1.1,0.5
è‰,0.3,0.4,1.2
éO,0.2,1.0,0.3
è„,0.4,0.3,0.4
â∫,0.8,0.5,1.2
ïs,0.6,1.0,0.3,1.1
ó^,0.2,0.6,0.9,0.5
âN,1.0,1.4,0.6,0.7,0.5
äé,0.7,2.0,0.4,0.1,0.4
ê¢,0.9,0.4,0.4,0.4,1.3
ãu,1.2,0.3,0.7,0.4,0.6
ï∏,0.4,0.3,0.5,0.8,0.4
èÂ,0.9,0.6,0.4,0.3,0.6,0.4
óº,0.4,0.4,0.6,0.6,1.0,0.3
ï¿,0.2,0.4,0.6,0.3,0.4,0.1,0.3,0.9
íÜ,0.7,0.5,0.4,0.8
ã¯,0.1,1.0,0.6,0.1,0.5,0.3,0.6
ä€,0.9,2.2,0.6
íO,0.8,3.0,0.1,0.7
éÂ,0.2,0.4,0.5,0.7,0.5
îT,0.5,3.5,0.4
ãv,0.6,1.5,0.7
îV,0.1,1.1,1.0
ì·,0.5,0.4,0.6,0.4,0.9
å¡,0.7,0.1,0.3,0.8,0.6
ñR,1.5,0.1,0.8,1.2
èÊ,0.6,0.4,0.5,0.3,0.3,0.3,0.4,0.5,1.5
â≥,3.1
ã„,0.5,2.1
åÓ,0.6,0.2,2.9
ñÁ,1.7,0.4,0.9
óê,0.3,0.7,0.4,0.1,0.9,0.4,1.3
ì˚,0.5,0.1,0.2,0.6,1.3,0.5,1.1,1.6
ä£,0.5,0.3,0.1,1.2,0.4,0.6,0.3,0.3,1.0,0.4,1.4
ãT,0.3,0.8,0.3,1.0,0.2,0.1,0.3,1.2,0.4,0.2,1.8
óπ,0.8,0.3
ó\,1.2,0.3,0.7,0.4
ëà,0.2,0.5,1.3,0.9,0.6,0.6
éñ,0.4,0.1,0.9,0.4,0.8,0.6,0.3,0.6
ìÒ,0.6,0.7
â],0.4,0.4,2.6,0.6
å›,0.3,0.9,0.3,0.8,0.5
å‹,0.5,0.7,1.2,0.7
à‰,0.3,0.7,0.4,0.9
òj,0.3,0.3,1.4,0.4,0.2,0.4
òi,0.4,0.9,1.3,0.3,0.2,0.4
ç±,0.3,0.4,0.0,0.7,0.3,0.4,0.2,0.4
àü,0.5,0.3,1.4,0.6,0.4,0.4,0.3
ñS,0.1,0.3,1.4
å,0.2,0.4,0.4,0.6,0.6,1.3
àÂ,0.1,0.2,0.8,1.1,1.0,1.2
ñí,0.1,0.5,0.8,0.4,0.4,0.2
ãú,0.2,0.8,0.1,1.2,0.1,0.7,0.5
