éO,0.16,0.08,0.38
è„,0.08,0.04,0.38
â∫,0.26,0.14,0.10
ïs,0.26,0.11,0.07,0.11
ó^,0.03,0.11,inf,0.39
âN,0.10,0.29,0.09,0.24,0.39
äé,0.14,0.41,0.03,0.05,0.39
